カット番号,セクション,,台本（ナレーション）,,,,NanoBanana プロンプト1,NanoBanana プロンプト2
26,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,> 📸 【SS5 ギャンマの連鎖BAN — 収益100万消失】,,,,"A stylish screen capture overlay showing ""SS5 ギャンマの連鎖BAN — 収益100万消失"", YouTube UI elements, dark mode, high quality, neon blue accents","A high-tech digital screenshot of ""SS5 ギャンマの連鎖BAN — 収益100万消失"", UI mockup, cinematic lighting, depth of field, 8k resolution"
27,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,"「連鎖BANエグいわ。第2波で1ch収益化停止。第3波で1ch。関連チャンネルが原因で2ch。1月分の収益100万が消し飛んだ」
> 📸 【SS3 オコジョ — 4ch一気停止】",,,,"A stylish screen capture overlay showing ""SS3 オコジョ — 4ch一気停止"", YouTube UI elements, dark mode, high quality, neon blue accents","A high-tech digital screenshot of ""SS3 オコジョ — 4ch一気停止"", UI mockup, cinematic lighting, depth of field, 8k resolution"
28,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,"さらにこの方。
「4チャンネル一気に食らった。属人チャンネルもろとも。YouTube側に問い合わせても『復活は無理です』と断言された」
どういうことかといいますと、",,,,"Bright glowing future, upward arrow made of light, cyan and gold particles, success concept, 8k resolution","A glowing door opening to bright light, volumetric lighting, hopeful atmosphere, cinematic, highly detailed"
29,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,"しかも、50日以内に異議申し立てに成功しなければ、停止中の未払い収益は全額取り消し。
1円も受け取れません。
「いやいや、自分は真面目にやってるから大丈夫でしょ」",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
30,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,"……そう思った方こそ、最後まで聞いてください。
> 📸 【T10 東北さんのVOICEPEAK誤判定ツイート】",,,,"A stylish screen capture overlay showing ""T10 東北さんのVOICEPEAK誤判定ツイート"", YouTube UI elements, dark mode, high quality, neon blue accents","A high-tech digital screenshot of ""T10 東北さんのVOICEPEAK誤判定ツイート"", UI mockup, cinematic lighting, depth of field, 8k resolution"
31,パート1：【警告】明日は我が身。1ミスで全チャンネル即死の「連鎖BAN地獄」,,"この方はこう警鐘を鳴らしています。
「VOICEPEAKという合成音声ソフトを使用していたため、AI生成の動画と判断されてしまったようです。当然、私の動画には一切AIは使用しておらず、動画、台本も全て私が1から作っていました。『停止されてない人もいるから大丈夫』ではありません。該当する方は全員常にリスクがある事を頭の片隅に置いておいた方がいいです」
今回のBAN祭りで消されているのは、まさに「真面目にやっていた人たち」なんですよね。",,,,"Futuristic artificial intelligence core, glowing blue nodes, digital network, cyberpunk aesthetic, 8k","Endless rows of identical robots, assembly line, digital grid background, cinematic lighting, high tech"
32,パート2：【絶望の真実】ポンコツAIのせいじゃない！「量産型」の本当の恐ろしさ,,"SNSを見ていると、「YouTubeのAIがポンコツすぎる」「誤BANだ」ってかなり騒がれていますよね。
> 📸 【SS1 TeamYouTubeの公式お詫び — 1,368いいね】",,,,"A stylish screen capture overlay showing ""SS1 TeamYouTubeの公式お詫び — 1,368いいね"", YouTube UI elements, dark mode, high quality, neon blue accents","A high-tech digital screenshot of ""SS1 TeamYouTubeの公式お詫び — 1,368いいね"", UI mockup, cinematic lighting, depth of field, 8k resolution"
33,パート2：【絶望の真実】ポンコツAIのせいじゃない！「量産型」の本当の恐ろしさ,,"実際、@TeamYouTubeの公式アカウントも「慎重な調査の結果、当初の判断に誤りがあったことが判明いたしました」って謝罪しているんですね。いいね1,368、リポスト200。それだけ反響があった。
つまり、誤BANが起きていること自体は事実です。
> 📸 【T15 手描きイラスト＆声優入りまで量産判定】",,,,"A stylish screen capture overlay showing ""T15 手描きイラスト＆声優入りまで量産判定"", YouTube UI elements, dark mode, high quality, neon blue accents","A high-tech digital screenshot of ""T15 手描きイラスト＆声優入りまで量産判定"", UI mockup, cinematic lighting, depth of field, 8k resolution"
34,パート2：【絶望の真実】ポンコツAIのせいじゃない！「量産型」の本当の恐ろしさ,,"第4波では「手描きイラスト＆声優入り動画まで『大量生産』判定」されたという報告まで出ています。
「オリジナルで労力かけたチャンネルまで巻き込まれてる…YouTubeのAIが暴走中？」
確かに、消されたチャンネルの中には理不尽なケースもあります。",,,,"Futuristic artificial intelligence core, glowing blue nodes, digital network, cyberpunk aesthetic, 8k","Endless rows of identical robots, assembly line, digital grid background, cinematic lighting, high tech"
35,パート2：【絶望の真実】ポンコツAIのせいじゃない！「量産型」の本当の恐ろしさ,,"「魁!!男塾」の公式チャンネル。ボイスコミックだから量産型扱い。
丁寧に作られていた恋愛漫画チャンネルも巻き添え。
登録者50万人を超えるチャンネルですら止まっている。",,,,"Futuristic artificial intelligence core, glowing blue nodes, digital network, cyberpunk aesthetic, 8k","Endless rows of identical robots, assembly line, digital grid background, cinematic lighting, high tech"
36,パート2：【絶望の真実】ポンコツAIのせいじゃない！「量産型」の本当の恐ろしさ,,"ただ、結論から言うと、「AIがポンコツだ」で思考停止していると、次に消されるのは自分です。
大物すら消されているのには、明確な理由があるんですね。
ここで1つ、重要な事実をお伝えします。",,,,"Futuristic artificial intelligence core, glowing blue nodes, digital network, cyberpunk aesthetic, 8k","Endless rows of identical robots, assembly line, digital grid background, cinematic lighting, high tech"
37,パート2：【絶望の真実】ポンコツAIのせいじゃない！「量産型」の本当の恐ろしさ,,"収益化停止を食らうと、YouTubeからこういうメッセージが届きます。
「ほかの動画と違いがほとんどない」
「多数の動画で同様のテンプレートが使用されている」",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
38,パート2：【絶望の真実】ポンコツAIのせいじゃない！「量産型」の本当の恐ろしさ,,"これを読んだ方のほとんどが、こう解釈するんですよね。
「自分は同じ動画を再投稿なんてしてないから関係ない」
「テンプレートなんて使ってないから大丈夫」",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
39,パート2：【絶望の真実】ポンコツAIのせいじゃない！「量産型」の本当の恐ろしさ,,"……ここが落とし穴なんです。
YouTubeが言っている「ほかの動画と違いがほとんどない」は、「あなたの過去動画の使い回し」って意味じゃないんですよ。
「みんなの動画と違いがほとんどない」って意味なんです。",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
40,パート2：【絶望の真実】ポンコツAIのせいじゃない！「量産型」の本当の恐ろしさ,,"つまり、業界全体を見渡したときに、あなたのチャンネルの動画が、他の誰かのチャンネルと見分けがつかない。同じような構成、同じようなAI音声、同じようなスライドショー。
これが「量産型」の正体ですね。
仕組みとしてはこうです。",,,,"Futuristic artificial intelligence core, glowing blue nodes, digital network, cyberpunk aesthetic, 8k","Endless rows of identical robots, assembly line, digital grid background, cinematic lighting, high tech"
41,パート2：【絶望の真実】ポンコツAIのせいじゃない！「量産型」の本当の恐ろしさ,,"新しいジャンルが生まれるとき、必ずファーストペンギンがいますよね。
そのペンギンを見て、2匹目が真似をする。3匹目が続く。10匹目、50匹目、101匹目……
YouTubeは今回、この「101匹目のペンギン」を容赦なく駆逐しに来ているんです。",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
42,パート2：【絶望の真実】ポンコツAIのせいじゃない！「量産型」の本当の恐ろしさ,,> 📸 【T9 ackey連鎖BAN解説】,,,,"A stylish screen capture overlay showing ""T9 ackey連鎖BAN解説"", YouTube UI elements, dark mode, high quality, neon blue accents","A high-tech digital screenshot of ""T9 ackey連鎖BAN解説"", UI mockup, cinematic lighting, depth of field, 8k resolution"
43,パート2：【絶望の真実】ポンコツAIのせいじゃない！「量産型」の本当の恐ろしさ,,"Xでもこの本質を見抜いている方がいまして。
「ペナルティの対象は『チャンネル』ではなく、運営している『ユーザー本人』に課せられるようになっている。『どうやって規約の裏をかくか』を考えるフェーズはもう終わり」
しかも、これは日本だけの話じゃないです。海外の主要ディストリビューターもYouTube向けに規約を改正しまくっている。YouTubeが本腰を入れてきているサインなんですね。",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
44,パート2：【絶望の真実】ポンコツAIのせいじゃない！「量産型」の本当の恐ろしさ,,"ポンコツAIのせいじゃないんですよ。これはYouTubeの「構造的な意思」です。
ここだけ覚えてもらえれば大丈夫です。
「自分の動画が量産型かどうか」じゃなくて、「業界全体から見て量産型に見えるかどうか」。",,,,"Futuristic artificial intelligence core, glowing blue nodes, digital network, cyberpunk aesthetic, 8k","Endless rows of identical robots, assembly line, digital grid background, cinematic lighting, high tech"
45,パート2：【絶望の真実】ポンコツAIのせいじゃない！「量産型」の本当の恐ろしさ,,"この基準で、あなたのチャンネルを見直してください。
「じゃあ、問題のあるチャンネルは捨てて、新しいアカウントで始め直せばいいのでは？」
……残念ながら、その逃げ道は完全に塞がれています。",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
46,パート3：【逃げ道ゼロ】YouTubeが突きつける「タダ働き」の現実,,"収益化停止を食らった後の選択肢は2つあります。
オプション1。今すぐ再審査を申し込む。
オプション2。90日間の改善期間をもらって、動画を直してから再申請する。",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
47,パート3：【逃げ道ゼロ】YouTubeが突きつける「タダ働き」の現実,,"ただ、ここに大きな罠がありまして。
どちらを選んでも、1チャンネルでも収益停止を食らった瞬間、そのアドセンスに紐づいている全チャンネルが即座に収益停止になります。オプション1でも、オプション2でも、結果は同じなんですよね。全チャンネル、収益ゼロ。
「じゃあもう、そのアカウントは捨てよう。新しいアカウントで新しいチャンネルを作ればいい」",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
48,パート3：【逃げ道ゼロ】YouTubeが突きつける「タダ働き」の現実,,"YouTube公式サポートに直接聞いた方がいます。返ってきた答えがこれです。
「今回収益化停止になったチャンネルを改善し、再収益化するまでは、新しいチャンネルでの収益化は認められません」
> 📸 【T11 花月エアリーの直訴 — 319いいね】",,,,"A stylish screen capture overlay showing ""T11 花月エアリーの直訴 — 319いいね"", YouTube UI elements, dark mode, high quality, neon blue accents","A high-tech digital screenshot of ""T11 花月エアリーの直訴 — 319いいね"", UI mockup, cinematic lighting, depth of field, 8k resolution"
49,パート3：【逃げ道ゼロ】YouTubeが突きつける「タダ働き」の現実,,"再審査に通ることも簡単じゃないです。たとえばこの方。
「台本を1から自分で制作しております。配信も定期的に行い、リスナー様と活発に交流しております。再審査要求も棄却されてしまいましたが、どうか今一度ご確認を」
> 📸 【T5 かぶまる — 3度目の収益化剥奪】",,,,"A stylish screen capture overlay showing ""T5 かぶまる — 3度目の収益化剥奪"", YouTube UI elements, dark mode, high quality, neon blue accents","A high-tech digital screenshot of ""T5 かぶまる — 3度目の収益化剥奪"", UI mockup, cinematic lighting, depth of field, 8k resolution"
50,パート3：【逃げ道ゼロ】YouTubeが突きつける「タダ働き」の現実,,"別の方に至っては、「3度目の収益化剥奪」ですよ。
「副業勢として全力で頑張ってきましたがそろそろ潮時かもしれません。投資系ゆっくり解説に負ける気はしません。しかしAquesTalkとAIを使った動画作成は限界かもしれません。リスクが高すぎます」
> 📸 【T12 D2oMcの具体的対処法】",,,,"A stylish screen capture overlay showing ""T12 D2oMcの具体的対処法"", YouTube UI elements, dark mode, high quality, neon blue accents","A high-tech digital screenshot of ""T12 D2oMcの具体的対処法"", UI mockup, cinematic lighting, depth of field, 8k resolution"
51,パート3：【逃げ道ゼロ】YouTubeが突きつける「タダ働き」の現実,,"ちなみに、具体的な対処法としてはこういう声もあります。
「再審査請求に落ちたら、ポリシー違反してる動画を消して、100%違反ではない動画を作り、3ヶ月後の再審査請求に挑むのがベスト。Googleアカウント削除とか小手先のことではなく、根本的にちゃんとYouTubeに向き合おう」
> 📸 【T7 ゆっくり数学 — 復活成功！ 439いいね】",,,,"A stylish screen capture overlay showing ""T7 ゆっくり数学 — 復活成功！ 439いいね"", YouTube UI elements, dark mode, high quality, neon blue accents","A high-tech digital screenshot of ""T7 ゆっくり数学 — 復活成功！ 439いいね"", UI mockup, cinematic lighting, depth of field, 8k resolution"
52,パート3：【逃げ道ゼロ】YouTubeが突きつける「タダ働き」の現実,,"一方で、復活に成功した方もいます。
「収益化復活しました！！再審査が却下されてからの復活なので、皆様のコミュニティ投稿での応援コメントや、Xでの拡散のおかげです！」
> 📸 【T8 bobuの「Xで訴えると復活」】",,,,"A stylish screen capture overlay showing ""T8 bobuの「Xで訴えると復活」"", YouTube UI elements, dark mode, high quality, neon blue accents","A high-tech digital screenshot of ""T8 bobuの「Xで訴えると復活」"", UI mockup, cinematic lighting, depth of field, 8k resolution"
53,パート3：【逃げ道ゼロ】YouTubeが突きつける「タダ働き」の現実,,"実は、Xで@TeamYouTubeに英語で直接メンションを送り、編集画面などの証拠を添えてアピールすると対応してもらえるケースが出始めています。
「声を上げれば変わる。漫画系・ゆっくり解説系のチャンネルが、次々復活。『X発の声』が現実を動かした」
ただし、全員が復活できるわけではないです。これ、かなり厳しい状況なんですよね。",,,,"Bright glowing future, upward arrow made of light, cyan and gold particles, success concept, 8k resolution","A glowing door opening to bright light, volumetric lighting, hopeful atmosphere, cinematic, highly detailed"
54,パート4：【残酷な生存条件】「シェフの味付け」だけではもう生き残れない,,"ここまで聞いて、こう考えた方も多いと思います。
「要するに、AIに丸投げせず、自分の考察とか、人間味を足せばいいんでしょ？」
他のYouTuberの方もみんなそう言ってますよね。",,,,"Futuristic artificial intelligence core, glowing blue nodes, digital network, cyberpunk aesthetic, 8k","Endless rows of identical robots, assembly line, digital grid background, cinematic lighting, high tech"
55,パート4：【残酷な生存条件】「シェフの味付け」だけではもう生き残れない,,"「独自の一次情報を入れましょう」
「コメント欄で視聴者と交流しましょう」
「AIに丸投げするな、シェフの味付けをしましょう」",,,,"Futuristic artificial intelligence core, glowing blue nodes, digital network, cyberpunk aesthetic, 8k","Endless rows of identical robots, assembly line, digital grid background, cinematic lighting, high tech"
